#  -250000  100  0
  -17300.0   -93.000
  -17200.0   -92.000
  -17100.0   -91.000
  -17000.0   -90.000
  -16900.0   -89.000
  -16800.0   -88.000
  -16700.0   -87.000
  -16600.0   -86.000
  -16500.0   -85.000
  -16400.0   -84.000
  -16300.0   -83.000
  -16200.0   -82.000
  -16100.0   -81.000
  -16000.0   -80.000
  -15900.0   -79.000
  -15800.0   -78.000
  -15700.0   -77.000
  -15600.0   -76.000
  -15500.0   -75.000
  -15400.0   -74.000
  -15300.0   -73.000
  -15200.0   -72.000
  -15100.0   -71.000
  -15000.0   -70.000
  -14900.0   -69.000
  -14800.0   -68.000
  -14700.0   -67.000
  -14600.0   -66.000
  -14500.0   -65.000
  -14400.0   -64.000
  -14300.0   -63.000
  -14200.0   -62.000
  -14100.0   -61.000
  -14000.0   -60.000
  -13900.0   -59.000
  -13800.0   -58.000
  -13700.0   -57.000
  -13600.0   -56.000
  -13500.0   -55.000
  -13400.0   -54.000
  -13300.0   -53.000
  -13200.0   -52.000
  -13100.0   -51.000
  -13000.0   -50.000
  -12900.0   -49.000
  -12800.0   -48.000
  -12700.0   -47.000
  -12600.0   -46.000
  -12500.0   -45.000
  -12400.0   -44.000
  -12300.0   -43.000
  -12200.0   -42.000
  -12100.0   -41.000
  -12000.0   -40.000
  -11900.0   -39.000
  -11800.0   -38.000
  -11700.0   -37.000
  -11600.0   -36.000
  -11500.0   -35.000
  -11400.0   -34.000
  -11300.0   -33.000
  -11200.0   -32.000
  -11100.0   -31.000
  -11000.0   -30.000
  -10900.0   -29.000
  -10800.0   -28.000
  -10700.0   -27.000
  -10600.0   -26.000
  -10500.0   -25.000
  -10400.0   -24.000
  -10300.0   -23.000
  -10200.0   -22.000
  -10100.0   -21.000
  -10000.0   -20.000
   -9900.0   -19.000
   -9800.0   -18.000
   -9700.0   -17.000
   -9600.0   -16.000
   -9500.0   -15.000
   -9400.0   -14.000
   -9300.0   -13.000
   -9200.0   -12.000
   -9100.0   -11.000
   -9000.0   -10.000
   -8900.0    -9.000
   -8800.0    -8.000
   -8700.0    -7.000
   -8600.0    -6.000
   -8500.0    -5.000
   -8400.0    -4.000
   -8300.0    -3.000
   -8200.0    -2.000
   -8100.0    -1.000
   -8000.0     0.000
   -7900.0     0.000
   -7800.0     0.000
   -7700.0     0.000
   -7600.0     0.000
   -7500.0     0.000
   -7400.0     0.000
   -7300.0     0.000
   -7200.0     0.000
   -7100.0     0.000
   -7000.0     0.000
   -6900.0     0.000
   -6800.0     0.000
   -6700.0     0.000
   -6600.0     0.000
   -6500.0     0.000
   -6400.0     0.000
   -6300.0     0.000
   -6200.0     0.000
   -6100.0     0.000
   -6000.0     0.000
   -5900.0     0.000
   -5800.0     0.000
   -5700.0     0.000
   -5600.0     0.000
   -5500.0     0.000
   -5400.0     0.000
   -5300.0     0.000
   -5200.0     0.000
   -5100.0     0.000
   -5000.0     0.000
   -4900.0     0.000
   -4800.0     0.000
   -4700.0     0.000
   -4600.0     0.000
   -4500.0     0.000
   -4400.0     0.000
   -4300.0     0.000
   -4200.0     0.000
   -4100.0     0.000
   -4000.0     0.000
   -3900.0     0.000
   -3800.0     0.000
   -3700.0     0.000
   -3600.0     0.000
   -3500.0     0.000
   -3400.0     0.000
   -3300.0     0.000
   -3200.0     0.000
   -3100.0     0.000
   -3000.0     0.000
   -2900.0     0.000
   -2800.0     0.000
   -2700.0     0.000
   -2600.0     0.000
   -2500.0     0.000
   -2400.0     0.000
   -2300.0     0.000
   -2200.0     0.000
   -2100.0     0.000
   -2000.0     0.000
   -1900.0     0.000
   -1800.0     0.000
   -1700.0     0.000
   -1600.0     0.000
   -1500.0     0.000
   -1400.0     0.000
   -1300.0     0.000
   -1200.0     0.000
   -1100.0     0.000
   -1000.0     0.000
    -900.0     0.000
    -800.0     0.000
    -700.0     0.000
    -600.0     0.000
    -500.0     0.000
    -400.0     0.000
    -300.0     0.000
    -200.0     0.000
    -100.0     0.000
       0.0     0.000
 
# Saw-tooth-shaped palaeoclimatic sea-level forcing
# 
# 20231025T165924
